College,Matched_INSTNM,In-State Tuition (tuition+fees),Out-of-State Tuition (tuition+fees)
Aaniiih Nakoda College,Aaniiih Nakoda College,3600,3600
Abilene Christian University,Abilene Christian University,42380,42380
Abilene Christian University-Undergraduate Online,Abilene Christian University-Undergraduate Online,14520,14520
Abraham Baldwin Agricultural College,Abraham Baldwin Agricultural College,3195,10101
Academy College,Academy College,18252,18252
Academy of Art University,Academy of Art University,28024,28024
Adams State University,Adams State University,9776,21848
Adelphi University,Adelphi University,47290,47290
Adrian College,Adrian College,40556,40556
AdventHealth University,AdventHealth University,20880,20880
Agape College of Business and Science,Agape College of Business and Science,8132,8132
Agnes Scott College,Agnes Scott College,48150,48150
Agora University,Aurora University,28220,28220
Aims Community College,Aims Community College,2090,11306
Alabama A & M University,Alabama A & M University,10024,18634
Alabama State University,Alabama State University,11248,19576
Alaska Bible College,Alaska Bible College,10930,10930
Alaska Pacific University,Alaska Pacific University,20760,20760
Albany College of Pharmacy and Health Sciences,Albany College of Pharmacy and Health Sciences,40375,40375
Albany State University,Albany State University,5934,16656
Albertus Magnus College,Albertus Magnus College,39924,39924
Albion College,Albion College,55746,55746
Albizu University-Miami,Albizu University-Miami,13128,13128
Albright College,Albright College,28794,28794
Alcorn State University,Alcorn State University,8549,8549
Alfred University,Alfred University,39530,39530
Alice Lloyd College,Alice Lloyd College,14080,14080
Allegheny College,Allegheny College,54960,54960
Allegheny Wesleyan College,Allegheny Wesleyan College,6800,6800
Allen University,Allen University,14304,14304
Alliant International University-San Diego,Alliant International University-San Diego,13918,13918
Alma College,Alma College,47430,47430
Alpena Community College,Alpena Community College,5130,7800
Alvernia University,Alvernia University,42810,42810
Alverno College,Alverno College,32794,32794
Alvin Community College,Alvin Community College,1834,4330
Amberton University,Amberton University,,
America Evangelical University,America Evangelical University,6200,6200
American Academy of Art College,American Academy of Art College,39510,39510
American Baptist College,American Baptist College,12474,12474
American College of Education,American College of Education,,
American College of Financial Services,American College of Financial Services,,
American InterContinental University System,American InterContinental University System,12310,12310
American InterContinental University-Atlanta,American InterContinental University-Atlanta,13416,13416
American InterContinental University-Houston,American InterContinental University-Houston,14842,14842
American International College,American International College,42970,42970
American Islamic College,American Islamic College,7650,7650
American Jewish University,American Jewish University,,
American Musical and Dramatic Academy,American Musical and Dramatic Academy,45560,45560
American National University,American National University,10735,10735
American Public University System,American Public University System,8400,8400
American Samoa Community College,American Samoa Community College,5460,5760
American University,American University,56543,56543
American University of Puerto Rico,Inter American University of Puerto Rico-Ponce,5580,5580
Amherst College,Amherst College,67280,67280
Amridge University,Amridge University,,
Ana G. Mendez University,Ana G. Mendez University,13575,13575
Anderson University,Anderson University,35640,35640
Anderson University,Anderson University,35640,35640
Andrew College,Andrew College,19126,19126
Andrews University,Andrews University,33710,33710
Angelo State University,Angelo State University,8319,18399
Anna Maria College,Anna Maria College,43064,43064
Antelope Valley Community College District,Antelope Valley Community College District,1124,8228
Antioch College,Antioch College,37143,37143
Antioch University,Antioch University,,
Antioch University-Santa Barbara,Antioch University-Santa Barbara,,
Antioch University-Seattle,Antioch University-Seattle,,
Appalachian Bible College,Appalachian Bible College,18230,18230
Appalachian State University,Appalachian State University,7541,24537
Aquinas College,Aquinas College,38520,38520
