unitid,applications,admitted,enrolled,acceptance_rate,sat_verbal_25,sat_verbal_75,sat_math_25,sat_math_75,sat_total_25,sat_total_75,act_composite_25,act_composite_75,act_english_25,act_english_75,act_math_25,act_math_75,selectivity_tier,test_policy,financial_aid_policy,gpa_average
100654,15628,10349.0,1956.0,0.6622088558996673,420.0,540.0,390.0,520.0,810.0,1060.0,14.0,19.0,13.0,20.0,14.0,17.0,Less Selective,Required,Need-blind,3.0776311391550015
100663,10919,9655.0,2095.0,0.8842384833775987,570.0,700.0,560.0,700.0,1130.0,1400.0,22.0,30.0,22.0,33.0,20.0,27.0,Less Selective,Required,Need-blind,3.3497729655710846
100706,6074,4510.0,1176.0,0.7425090549884754,595.0,700.0,600.0,740.0,1195.0,1440.0,25.0,31.0,24.0,33.0,24.0,29.0,Less Selective,Required,Need-blind,3.160983737577309
100724,5346,5113.0,951.0,0.9564160119715676,444.0,538.0,421.0,531.0,865.0,1069.0,16.0,20.0,15.0,21.0,15.0,19.0,Less Selective,Required,Need-blind,3.0622711211495206
100751,58418,44295.0,8279.0,0.75824232257181,590.0,700.0,580.0,700.0,1170.0,1400.0,24.0,31.0,23.0,33.0,22.0,29.0,Less Selective,Required,Need-blind,3.1048661705411287
100830,2213,2050.0,413.0,0.9263443289652056,500.0,595.0,500.0,615.0,1000.0,1210.0,18.0,24.0,18.0,25.0,16.0,23.0,Less Selective,Required,Need-blind,3.071517791356399
100858,48178,24314.0,5935.0,0.5046701814106024,630.0,690.0,610.0,690.0,1240.0,1380.0,25.0,31.0,25.0,33.0,24.0,29.0,Less Selective,Required,Need-blind,3.1179182128955354
100937,3987,2071.0,148.0,0.5194381740657136,580.0,670.0,570.0,670.0,1150.0,1340.0,21.0,27.0,19.0,28.0,19.0,26.0,Less Selective,Required,Need-blind,3.28746452406847
101189,1786,1181.0,240.0,0.6612541993281075,463.0,585.0,423.0,550.0,886.0,1135.0,17.0,23.0,16.0,23.0,16.0,21.0,Less Selective,Required,Need-blind,3.1815108930565916
101365,127,120.0,83.0,0.9448818897637795,,,,,,,,,,,,,Less Selective,Test-optional,Need-blind,3.258805244539186
101435,2581,1828.0,309.0,0.708252615265401,498.0,613.0,513.0,598.0,1011.0,1211.0,20.0,25.0,19.0,25.0,17.0,24.0,Less Selective,Required,Need-blind,3.452234416729489
101480,12008,9152.0,1815.0,0.7621585609593604,490.0,620.0,480.0,640.0,970.0,1260.0,17.0,24.0,16.0,25.0,16.0,23.0,Less Selective,Required,Need-blind,3.27226256540749
101587,2041,1778.0,315.0,0.871141597256247,470.0,550.0,350.0,428.0,820.0,978.0,17.0,22.0,16.0,23.0,16.0,20.0,Less Selective,Required,Need-blind,3.1175819359253265
101648,605,358.0,173.0,0.5917355371900826,500.0,630.0,510.0,610.0,1010.0,1240.0,17.0,23.0,15.0,23.0,16.0,24.0,Less Selective,Required,Need-blind,3.35609496337416
101693,1735,1258.0,288.0,0.72507204610951,,,,,,,21.0,27.0,21.0,28.0,19.0,26.0,Less Selective,Required,Need-blind,3.514952583634094
