college_name,acceptance_rate,selectivity_tier,formula_probability,final_probability,outcome,profile_strength,grades_score,rigor_score,testing_score,essay_score,ecs_leadership_score,recommendations_score,plan_timing_score,athletic_recruit_score,major_fit_score,geography_residency_score,firstgen_diversity_score,ability_to_pay_score,awards_publications_score,portfolio_audition_score,policy_knob_score,demonstrated_interest_score,legacy_score,interview_score,conduct_record_score,hs_reputation_score,gpa_unweighted,gpa_weighted,sat_total,sat_math,sat_rw,act_composite,ap_count,honors_count,class_rank_pct,class_size,ec_count,leadership_count,years_commitment,hours_per_week,awards_count,national_awards,first_gen,urm,geographic_diversity,legacy,recruited_athlete,sat_median,act_median,test_policy_numeric,need_policy_numeric,gpa_vs_avg,sat_vs_median,act_vs_median,gpa_above_college,sat_above_75th,act_above_75th,composite_vs_acceptance,selectivity_match,test_advantage,geographic_match,legacy_boost,first_gen_boost,athlete_boost,academic_strength,holistic_strength
Harvard University,0.0325,Elite,0.10024743980469836,0.10063803923362052,0,average,7.61185289472238,7.139493860652042,6.792144648535218,8.35552788417904,7.366361843293692,6.999184455395899,6.777243706586127,2.0929008254399957,7.215089703802876,5.623782158161189,5.0,5.341048247374583,5.456069984217036,5.130103185970559,5.0,7.84665661176,3.0,7.285586096034029,9.948448049611839,7.020993370291153,3.6802857225639665,4.065996970905703,1319.0,641.0,678.0,26.0,3.0,4.0,18.638900372842315,245.0,3.0,1.0,11.0,17.48663961200633,1.0,0.0,0.0,1.0,5.623782158161189,0.0,0.0,1520.0,34.5,2.0,1.0,-0.5394285548720674,-2.01,-1.7,0.0,0.0,0.0,53.28607149583223,0.0,0.0,0.0,0.0,0.0,0.0,0.8722232153204958,0.2333333333333333
Harvard University,0.0325,Elite,0.07774136777399099,0.08565754865646144,0,average,6.271349031773896,8.82873750915193,5.856753326693589,6.422772674924288,7.2809345096873805,8.5054924518851,7.960660809801552,3.544489538593315,6.397431363068344,3.22613644455269,5.0,5.011044234247205,6.814044124737372,6.6309228569096685,5.0,7.120572031542851,8.0,6.186376609199427,9.59351075206148,6.928175866714865,3.313755408446087,4.154660201039391,1251.0,616.0,635.0,29.0,5.0,3.0,16.506606615265287,294.0,2.0,1.0,7.0,18.422410256414732,4.0,0.0,0.0,0.0,3.22613644455269,1.0,0.0,1520.0,34.5,2.0,1.0,-1.272489183107826,-2.69,-1.1,0.0,0.0,0.0,50.50301269362446,0.0,0.0,0.0,1.0,0.0,0.0,0.805156926055761,0.4000000000000001
Harvard University,0.0325,Elite,0.09706377995710427,0.12531328464330135,1,average,6.314355981076327,8.508570691164703,6.407566473926093,8.266653415629147,7.249292229148875,7.071995413729056,5.869254358741304,9.0,6.322442574508009,3.539457134966522,5.0,6.859395304685146,6.615574384553445,6.616240759128834,5.0,6.900211269531271,3.0,6.192449774571982,9.807190885281576,7.009180192247786,3.3254233401144093,3.8554911608578313,1265.0,639.0,626.0,30.0,7.0,3.0,10.628583713734685,418.0,2.0,1.0,6.0,16.564507699318415,4.0,0.0,0.0,0.0,3.539457134966522,0.0,1.0,1520.0,34.5,2.0,1.0,-1.2491533197711817,-2.55,-0.9,0.0,0.0,0.0,52.12531463842958,0.0,0.0,0.0,0.0,0.0,1.0,0.8109904175143012,0.4000000000000001
Harvard University,0.0325,Elite,0.25662598584827184,0.3047742797643119,1,strong,8.036886947354533,9.609564333979897,10.0,6.835939392709834,8.502679023228861,8.770664714916634,5.434684616273669,2.9789055205551263,7.971300908221202,5.4862425294619275,5.0,5.484110543023001,7.577218126874984,6.3442710948117575,5.0,7.284858845986153,3.0,6.598904726667431,8.8564563159886,6.820540871529649,3.8854215577252513,4.690808859553496,1572.0,786.0,786.0,32.0,10.0,4.0,2.2035132392670786,242.0,4.0,2.0,12.0,15.545284383427667,9.0,0.0,0.0,0.0,5.4862425294619275,0.0,0.0,1520.0,34.5,2.0,1.0,-0.1291568845494977,0.52,-0.5,0.0,0.0,0.0,63.61405015651766,1.0,0.0,0.0,0.0,0.0,0.0,0.9769276947156564,0.8666666666666667
Harvard University,0.0325,Elite,0.03153019062304453,0.04151703658505291,0,weak,5.849387236557126,6.754678706761962,4.386912441572734,7.665602434798387,6.319968092068358,7.824126445890016,5.2793083034176975,3.7944315159066537,7.8008361143266605,3.6876047207299663,5.0,6.266202914546536,5.817222200201216,5.678059582097402,5.0,6.047628723837983,3.0,6.604630727251129,9.588933518305359,7.242775649881443,2.7566240519773886,2.967866659359869,1008.0,511.0,497.0,23.0,0.0,1.0,40.231990531507755,156.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6876047207299663,0.0,0.0,1520.0,34.5,2.0,1.0,-2.386751896045223,-5.12,-2.3,0.0,0.0,0.0,38.77757042231629,0.0,0.0,0.0,0.0,0.0,0.0,0.6595780064971736,0.06666666666666667
Harvard University,0.0325,Elite,0.02,0.02,0,weak,4.187349535656185,5.735431606118867,4.397803551522588,7.179293174000281,5.487979286758167,8.730116387942783,7.384433910624946,3.005274186210384,7.153807769252718,7.24611705247089,5.0,5.985035387637728,5.973010554752445,5.390485975596089,5.0,7.1673563457845155,3.0,7.577846564993157,8.921158543661283,5.060789916078635,2.985143247727672,2.8082773464549664,1020.0,489.0,531.0,23.0,0.0,1.0,49.7283867690103,384.0,2.0,0.0,4.0,15.682688320213037,1.0,0.0,0.0,0.0,7.24611705247089,0.0,0.0,1520.0,34.5,2.0,1.0,-1.9297135045446563,-5.0,-2.3,0.0,0.0,0.0,40.829288887787335,0.0,0.0,1.0,0.0,0.0,0.0,0.691892905965959,0.13333333333333333
Harvard University,0.0325,Elite,0.09730855419117262,0.10674015913619583,1,average,6.518329652363737,8.877373071927956,6.240768617754204,7.0784734536592655,7.697015740995268,7.233979610661233,7.430340184037542,3.7341446371602074,7.826481105112943,6.075036133495849,5.0,6.022684797721876,5.702484083987109,6.003032589374399,5.0,7.3948855369003255,3.0,8.023402888696284,9.474945896166648,6.754917193144259,3.3061826466115467,4.164159281293863,1285.0,666.0,619.0,31.0,7.0,2.0,29.801077002085265,170.0,3.0,1.0,7.0,13.352018936875252,2.0,0.0,0.0,0.0,6.075036133495849,0.0,0.0,1520.0,34.5,2.0,1.0,-1.287634706776907,-2.35,-0.7,0.0,0.0,0.0,52.29398400371882,0.0,0.0,0.0,0.0,0.0,0.0,0.8148353308264433,0.3
Harvard University,0.0325,Elite,0.06568867693075066,0.0989087077019539,0,average,6.726091333722661,7.975852079462535,7.016300348301195,6.812496753786222,5.6459129458824915,7.59742855176409,5.076052230246373,3.92529682935585,7.671960241024411,5.65677315784074,5.0,6.391948412187396,5.795186194768704,5.817905888828539,5.0,5.519882960212537,8.0,6.196140953355665,8.73465556400663,5.625607245411488,3.3143769095186966,3.93279900906623,1308.0,658.0,650.0,27.0,3.0,2.0,20.81270243220213,418.0,4.0,0.0,12.0,16.54990329647916,1.0,0.0,0.0,0.0,5.65677315784074,1.0,0.0,1520.0,34.5,2.0,1.0,-1.2712461809626072,-2.12,-1.5,0.0,0.0,0.0,50.13431238983941,0.0,0.0,0.0,1.0,0.0,0.0,0.8230471136898371,0.20000000000000004
Harvard University,0.0325,Elite,0.08223608062557392,0.0766976691075733,0,average,7.615850098052216,8.635093650867644,5.545304009772044,7.509408775740264,5.749225229252943,8.641224602970805,5.488803281244289,2.1411374948008595,7.284838556412631,3.866009349550076,5.0,5.053022621083244,5.625859915714236,6.171551162546926,5.0,7.820690724274873,3.0,7.646734079047363,9.363211266813819,5.970424815516305,3.5217416210045602,4.0058603731171765,1283.0,634.0,649.0,27.0,6.0,2.0,18.67703298475946,299.0,2.0,0.0,7.0,15.554867890700356,1.0,0.0,0.0,1.0,3.866009349550076,0.0,0.0,1520.0,34.5,2.0,1.0,-0.8565167579908799,-2.37,-1.5,0.0,0.0,0.0,53.36290067066206,0.0,0.0,0.0,0.0,0.0,0.0,0.84115520262557,0.13333333333333333
Harvard University,0.0325,Elite,0.034251411523712624,0.037378280345796724,0,weak,5.754944027054106,6.470142087607772,5.205221395577273,8.251844254922574,5.5640691451426125,8.51708684816816,6.237853030734279,2.7440361715855666,7.5528259214839935,3.5908241381082813,5.0,5.681607080506035,5.177439543779723,6.86151465120713,5.0,7.575238255529035,3.0,8.476262855001684,9.143491041062527,6.877177669478743,3.224280513564851,2.9762120213103667,1013.0,486.0,527.0,20.0,0.0,2.0,50.90211496092452,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5908241381082813,0.0,0.0,1520.0,34.5,2.0,1.0,-1.4514389728702985,-5.07,-2.9,0.0,0.0,0.0,42.65852917271441,0.0,0.0,0.0,0.0,0.0,0.0,0.7195975641956064,0.0
