unitid,applications,admitted,enrolled,acceptance_rate,sat_verbal_25,sat_verbal_75,sat_math_25,sat_math_75,sat_total_25,sat_total_75,act_composite_25,act_composite_75,act_english_25,act_english_75,act_math_25,act_math_75,selectivity_tier,test_policy,financial_aid_policy,gpa_average,data_completeness
211893,446,31.0,25.0,0.06950672645739911,,,,,,,,,,,,,Elite,Test-optional,Need-blind,3.884651045120991,0
166027,56937,1965.0,1645.0,0.03451182886348069,740.0,780.0,760.0,800.0,1500.0,1580.0,34.0,36.0,35.0,36.0,33.0,36.0,Elite,Required,Need-blind,3.908502208164354,2
130794,51803,2332.0,1641.0,0.045016697874640466,740.0,780.0,760.0,800.0,1500.0,1580.0,33.0,35.0,34.0,36.0,31.0,35.0,Elite,Required,Need-blind,3.9513990635497453,2
164155,14727,1379.0,1175.0,0.09363753649758946,600.0,700.0,600.0,720.0,1200.0,1420.0,24.0,31.0,24.0,33.0,25.0,30.0,Elite,Required,Need-blind,3.965496201462481,2
227757,31059,2447.0,1125.0,0.0787855372033871,730.0,770.0,770.0,800.0,1500.0,1570.0,34.0,36.0,35.0,36.0,33.0,36.0,Elite,Required,Need-blind,3.9668154067285477,2
189097,11803,940.0,711.0,0.07964076929594172,723.0,770.0,730.0,780.0,1453.0,1550.0,32.0,34.0,34.0,35.0,28.0,34.0,Elite,Required,Need-blind,3.890717113117695,2
192110,2020,181.0,95.0,0.0896039603960396,,,,,,,,,,,,,Elite,Test-optional,Need-blind,3.9243156392157608,0
121345,12121,819.0,408.0,0.0675686824519429,730.0,770.0,750.0,790.0,1480.0,1560.0,33.0,35.0,35.0,36.0,30.0,35.0,Elite,Required,Need-blind,3.971620783724606,2
168342,11465,1145.0,541.0,0.09986916703009158,730.0,770.0,740.0,790.0,1470.0,1560.0,33.0,35.0,34.0,35.0,31.0,35.0,Elite,Required,Need-blind,3.9627462834143254,2
186131,39644,1782.0,1366.0,0.04495005549389567,740.0,780.0,760.0,800.0,1500.0,1580.0,34.0,35.0,35.0,36.0,32.0,35.0,Elite,Required,Need-blind,3.8979620202575687,2
193900,113578,10693.0,5818.0,0.09414675377273768,720.0,770.0,760.0,800.0,1480.0,1570.0,33.0,35.0,,,,,Elite,Required,Need-blind,3.905649925325838,2
164465,12727,1250.0,488.0,0.09821639035122182,690.0,770.0,670.0,780.0,1360.0,1550.0,31.0,35.0,32.0,35.0,28.0,35.0,Elite,Required,Need-blind,3.89326315593878,2
221999,45313,2844.0,1622.0,0.06276344536887869,740.0,770.0,770.0,790.0,1510.0,1560.0,34.0,35.0,35.0,36.0,32.0,35.0,Elite,Required,Need-blind,3.939948716790832,2
167358,96631,5459.0,2744.0,0.056493257857209385,710.0,760.0,750.0,790.0,1460.0,1550.0,33.0,35.0,33.0,35.0,31.0,35.0,Elite,Required,Need-blind,3.9270146395523953,2
182670,28841,1797.0,1206.0,0.062307132207621095,740.0,780.0,760.0,790.0,1500.0,1570.0,33.0,35.0,35.0,36.0,31.0,35.0,Elite,Required,Need-blind,3.892543577808168,2
197133,12145,2153.0,689.0,0.17727459860024702,720.0,770.0,715.0,780.0,1435.0,1550.0,33.0,35.0,,,,,Highly Selective,Required,Need-blind,3.7426629510764027,2
134130,65375,15707.0,6762.0,0.2402600382409178,650.0,730.0,650.0,750.0,1300.0,1480.0,28.0,33.0,27.0,34.0,26.0,31.0,Highly Selective,Required,Need-blind,3.7594032485453317,2
