name,city,state,tuition_in_state_usd,tuition_out_of_state_usd,avg_net_price_usd,selectivity_tier,acceptance_rate,accepted_per_year,applicants_total,student_body_size,unitid,data_completeness,gpa_average,test_policy,financial_aid_policy,control,major_1,major_2,major_3
Alabama A & M University,Normal,AL,10024.0,18634.0,14559.0,Less Selective,0.6622,,,5726,1000000,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Alabama at Birmingham,Birmingham,AL,8832.0,21864.0,17727.0,Less Selective,0.8842,,,12118,1000001,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Amridge University,Montgomery,AL,9748.0,17062.0,,Moderately Selective,0.5,,,226,1000002,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Alabama in Huntsville,Huntsville,AL,11770.0,24662.0,19880.0,Less Selective,0.7425,,,6650,1000003,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Alabama State University,Montgomery,AL,11248.0,19576.0,13889.0,Less Selective,0.9564,,,3322,1000004,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
The University of Alabama,Tuscaloosa,AL,11900.0,33200.0,22150.0,Less Selective,0.7582,,,32323,1000005,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Central Alabama Community College,Alexander City,AL,5040.0,8850.0,14346.0,Moderately Selective,0.5,,,1134,1000006,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Athens State University,Athens,AL,9748.0,17062.0,,Moderately Selective,0.5,,,2407,1000007,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Auburn University at Montgomery,Montgomery,AL,9436.0,20092.0,14596.0,Less Selective,0.9262999999999999,,,2693,1000008,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Auburn University,Auburn,AL,12536.0,33944.0,23897.0,Moderately Selective,0.5047,,,25732,1000009,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Birmingham-Southern College,Birmingham,AL,22750.0,22750.0,23351.0,Moderately Selective,0.5194,,,713,1000010,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Chattahoochee Valley Community College,Phenix City,AL,5040.0,8850.0,5814.0,Moderately Selective,0.5,,,1044,1000011,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Enterprise State Community College,Enterprise,AL,5040.0,8850.0,8187.0,Moderately Selective,0.5,,,1476,1000012,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Coastal Alabama Community College,Bay Minette,AL,4980.0,8790.0,9514.0,Moderately Selective,0.5,,,4714,1000013,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Faulkner University,Montgomery,AL,23920.0,23920.0,21165.0,Less Selective,0.6613,,,1555,1000014,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Gadsden State Community College,Gadsden,AL,4032.0,7080.0,3568.0,Moderately Selective,0.5,,,3619,1000015,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
George C Wallace Community College-Dothan,Dothan,AL,4920.0,8730.0,2697.0,Moderately Selective,0.5,,,3053,1000016,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
George C Wallace State Community College-Hanceville,Hanceville,AL,4980.0,8790.0,14042.0,Moderately Selective,0.5,,,4413,1000017,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
George C Wallace State Community College-Selma,Selma,AL,4680.0,8490.0,970.0,Moderately Selective,0.5,,,828,1000018,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Huntingdon College,Montgomery,AL,28650.0,28650.0,21401.0,Less Selective,0.7082999999999999,,,865,1000019,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
J. F. Drake State Community and Technical College,Huntsville,AL,5130.0,8940.0,4644.0,Moderately Selective,0.5,,,719,1000020,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
J F Ingram State Technical College,Deatsville,AL,6084.0,6084.0,,Moderately Selective,0.5,,,826,1000021,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Jacksonville State University,Jacksonville,AL,12426.0,22716.0,14850.0,Less Selective,0.7622,,,7030,1000022,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Jefferson State Community College,Birmingham,AL,5040.0,8850.0,9024.0,Moderately Selective,0.5,,,5443,1000023,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
John C Calhoun State Community College,Tanner,AL,5060.0,8870.0,7336.0,Moderately Selective,0.5,,,6928,1000024,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lawson State Community College,Birmingham,AL,4980.0,8790.0,6564.0,Moderately Selective,0.5,,,2720,1000025,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of West Alabama,Livingston,AL,10990.0,20090.0,13832.0,Less Selective,0.8711,,,2666,1000026,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Lurleen B Wallace Community College,Andalusia,AL,4980.0,8790.0,3041.0,Moderately Selective,0.5,,,1122,1000027,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Marion Military Institute,Marion,AL,9538.0,15538.0,10137.0,Moderately Selective,0.5917,,,308,1000028,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Miles College,Fairfield,AL,12714.0,12714.0,14514.0,Moderately Selective,0.5,,,1151,1000029,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Mobile,Mobile,AL,26120.0,26120.0,19603.0,Less Selective,0.7251000000000001,,,1079,1000030,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of Montevallo,Montevallo,AL,13710.0,26730.0,17053.0,Moderately Selective,0.539,,,2087,1000031,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Northwest Shoals Community College,Muscle Shoals,AL,5071.0,8881.0,4545.0,Moderately Selective,0.5,,,1924,1000032,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
University of North Alabama,Florence,AL,11990.0,22190.0,11024.0,Less Selective,0.9648,,,5468,1000033,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
Northeast Alabama Community College,Rainsville,AL,4980.0,8790.0,1612.0,Moderately Selective,0.5,,,1547,1000034,1.0,3.5,Required,Need-blind,Public,Business,Engineering,Biology
