UNITID,major_1,pct_1,count_1,major_2,pct_2,count_2,major_3,pct_3,count_3,bach_total,year
100654,CIP 99,50.0,590,"Business, Management, Marketing & Support",8.39,99,Biological & Biomedical Sciences,7.12,84.0,1180,2024
100663,CIP 99,50.0,2992,Health Professions & Related Programs,10.08,603,"Business, Management, Marketing & Support",9.19,550.0,5984,2024
100690,CIP 99,50.0,46,"Business, Management, Marketing & Support",19.57,18,Theology & Religious Vocations,13.04,12.0,92,2024
100706,CIP 99,50.0,1503,Engineering,15.5,466,"Business, Management, Marketing & Support",8.82,265.0,3006,2024
100724,CIP 99,50.0,470,"Homeland Security, Law Enforcement & Firefighting",6.17,58,"Business, Management, Marketing & Support",5.96,56.0,940,2024
100751,CIP 99,50.0,7231,"Business, Management, Marketing & Support",14.73,2130,Social Sciences,5.3,767.0,14462,2024
100812,CIP 99,50.0,722,Education,16.48,238,"Business, Management, Marketing & Support",15.93,230.0,1444,2024
100830,CIP 99,50.0,639,Health Professions & Related Programs,9.55,122,"Business, Management, Marketing & Support",9.39,120.0,1278,2024
100858,CIP 99,50.0,5937,"Business, Management, Marketing & Support",13.1,1555,Engineering,7.96,945.0,11874,2024
101116,CIP 99,50.0,45,Health Professions & Related Programs,43.33,39,"Business, Management, Marketing & Support",3.33,3.0,90,2024
101189,CIP 99,50.0,391,"Business, Management, Marketing & Support",25.58,200,"Homeland Security, Law Enforcement & Firefighting",9.34,73.0,782,2024
101365,CIP 99,50.0,16,Health Professions & Related Programs,28.12,9,"Business, Management, Marketing & Support",9.38,3.0,32,2024
101435,CIP 99,50.0,172,"Business, Management, Marketing & Support",9.88,34,Biological & Biomedical Sciences,9.59,33.0,344,2024
101453,Theology & Religious Vocations,50.0,9,CIP 99,50.0,9,,,,18,2024
101480,CIP 99,50.0,1365,Health Professions & Related Programs,11.58,316,"Business, Management, Marketing & Support",7.25,198.0,2730,2024
101587,CIP 99,50.0,404,Education,12.87,104,Multi/Interdisciplinary Studies,9.65,78.0,808,2024
101675,CIP 99,50.0,152,"Business, Management, Marketing & Support",17.43,53,Biological & Biomedical Sciences,7.57,23.0,304,2024
101693,CIP 99,50.0,216,Health Professions & Related Programs,8.33,36,"Business, Management, Marketing & Support",8.1,35.0,432,2024
101709,CIP 99,50.0,417,Visual & Performing Arts,9.23,77,"Business, Management, Marketing & Support",8.99,75.0,834,2024
101879,CIP 99,50.0,1105,"Business, Management, Marketing & Support",11.22,248,Health Professions & Related Programs,8.37,185.0,2210,2024
101912,CIP 99,50.0,190,Health Professions & Related Programs,9.74,37,Biological & Biomedical Sciences,8.42,32.0,380,2024
102049,CIP 99,50.0,947,Health Professions & Related Programs,16.58,314,"Business, Management, Marketing & Support",10.3,195.0,1894,2024
102058,Philosophy & Religious Studies,50.0,1,CIP 99,50.0,1,"Liberal Arts & Sciences, General Studies & Humanities",0.0,0.0,2,2024
102094,CIP 99,50.0,1815,Health Professions & Related Programs,14.57,529,Biological & Biomedical Sciences,7.44,270.0,3630,2024
102234,CIP 99,50.0,204,"Business, Management, Marketing & Support",15.69,64,Health Professions & Related Programs,10.05,41.0,408,2024
102270,CIP 99,50.0,122,"Business, Management, Marketing & Support",11.07,27,Psychology,10.66,26.0,244,2024
102298,CIP 99,50.0,145,"Business, Management, Marketing & Support",16.55,48,Psychology,8.62,25.0,290,2024
102368,CIP 99,50.0,1960,"Business, Management, Marketing & Support",10.66,418,Multi/Interdisciplinary Studies,6.17,242.0,3920,2024
102377,CIP 99,50.0,335,Health Professions & Related Programs,11.49,77,CIP 1,7.61,51.0,670,2024
102395,CIP 99,50.0,16,Education,25.0,8,"Parks, Recreation, Leisure, Fitness & Kinesiology",25.0,8.0,32,2024
102553,CIP 99,50.0,717,Health Professions & Related Programs,13.81,198,"Business, Management, Marketing & Support",6.76,97.0,1434,2024
102580,CIP 99,50.0,9,Theology & Religious Vocations,44.44,8,Education,5.56,1.0,18,2024
102614,CIP 99,50.0,461,"Business, Management, Marketing & Support",7.16,66,"Homeland Security, Law Enforcement & Firefighting",4.88,45.0,922,2024
102632,CIP 99,50.0,103,"Business, Management, Marketing & Support",16.99,35,Education,11.17,23.0,206,2024
102669,CIP 99,50.0,41,Multi/Interdisciplinary Studies,12.2,10,"Business, Management, Marketing & Support",12.2,10.0,82,2024
102845,CIP 99,50.0,54,Health Professions & Related Programs,32.41,35,"Business, Management, Marketing & Support",9.26,10.0,108,2024
104090,Health Professions & Related Programs,50.0,124,CIP 99,50.0,124,,,,248,2024
104151,CIP 99,50.0,14769,"Business, Management, Marketing & Support",11.31,3341,Engineering,4.54,1340.0,29538,2024
104179,CIP 99,50.0,8006,"Business, Management, Marketing & Support",7.96,1275,Biological & Biomedical Sciences,4.86,778.0,16012,2024
104586,CIP 99,50.0,652,Transportation & Materials Moving,17.71,231,Engineering,17.56,229.0,1304,2024
104708,Education,,0,CIP 99,,0,,,,0,2024
104717,CIP 99,50.0,14794,Health Professions & Related Programs,16.9,5000,"Business, Management, Marketing & Support",10.67,3158.0,29588,2024
105145,Health Professions & Related Programs,,0,CIP 99,,0,,,,0,2024
105154,Education,,0,Multi/Interdisciplinary Studies,,0,CIP 99,,0.0,0,2024
105297,CIP 99,50.0,52,"Business, Management, Marketing & Support",12.5,13,Psychology,10.58,11.0,104,2024
105330,CIP 99,50.0,5311,"Business, Management, Marketing & Support",7.52,799,Health Professions & Related Programs,7.32,777.0,10622,2024
105349,Education,,0,"Business, Management, Marketing & Support",,0,CIP 99,,0.0,0,2024
105534,Health Professions & Related Programs,50.0,371,CIP 99,50.0,371,,,,742,2024
105589,CIP 99,50.0,132,CIP 3,14.39,38,Psychology,8.33,22.0,264,2024
105668,Education,,0,Public Administration & Social Service Professions,,0,CIP 99,,0.0,0,2024
105899,CIP 99,50.0,167,"Business, Management, Marketing & Support",19.16,64,Psychology,6.89,23.0,334,2024
106148,Health Professions & Related Programs,,0,"Business, Management, Marketing & Support",,0,CIP 99,,0.0,0,2024
106245,CIP 99,50.0,941,Health Professions & Related Programs,8.93,168,"Business, Management, Marketing & Support",8.5,160.0,1882,2024
106263,Health Professions & Related Programs,50.0,552,CIP 99,50.0,552,,,,1104,2024
106306,CIP 99,50.0,20,"Business, Management, Marketing & Support",37.5,15,Public Administration & Social Service Professions,7.5,3.0,40,2024
106342,CIP 99,50.0,136,"Business, Management, Marketing & Support",11.4,31,Biological & Biomedical Sciences,9.19,25.0,272,2024
